indexx,position,start_time_in_video_in_sec,duration_in_video_in_sec,post_id,post_code,user_pk,user_pk_id,user_username,user_full_name,user_is_private,user_is_verified,user_profile_pic_id,user_profile_pic_url
12,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,50424398621,50424398621,mahali.tanha,محلی تنها |ادیت |موسیقی محلی,0,0,3037363258340551304_50424398621,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/330600582_457048893203346_6776848448070633591_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=L2CTJ5I-aF4AX9aF6Wo&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAc9HeewfRejmyZvDJaKFaQYyVhK9Jl9kJBQX-l5JVg-A&oe=64C17926&_nc_sid=472314
13,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,52771273894,52771273894,mostafa.seyfi.021,Mostafa.seyfi.021,0,0,3124927554045622654_52771273894,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/353355857_1937937859906292_4700300560156681833_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=YF_XLBpgWTsAX9OSWrb&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDJQ3GQ2lkUEz5Tfta0WHP9RJqMqL6VLJIPDkkSJHvqOg&oe=64C1CAD2&_nc_sid=472314
14,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,53148221836,53148221836,mahali_marvdasht1,محلی مرودشت۱,0,0,3034612634264317306_53148221836,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/329026253_5894618103948534_3051177544015274455_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_ohc=z7VB65NeXRYAX_4Tote&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAs2f0gRwRnZYFAangHZMTF0cN2XjdDUK1y6prJkpDzxg&oe=64C1FC7C&_nc_sid=472314
15,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,53685601628,53685601628,banoy.baseri,♤داریوش_طلایه دار👑♤,0,0,3013561782685552968_53685601628,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/324545668_728978641777106_4300388676763851234_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=IJ6xxzzJcSYAX-97Mcr&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBQyRWVuJg8ei95YCnI2SuqTJgfe8FvZ4wwumQvLXRKxw&oe=64C1975C&_nc_sid=472314
16,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,54803060646,54803060646,mahalikhas,آوای جاودان مرودشت,0,0,2912632296416075241_54803060646,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/300813862_1211959112979130_7006315075551445807_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=WmYnv6NoERwAX8oF7mh&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDhYpbCeNdowii7FJngFsKWjStiH5E01pevyOw1olVEmw&oe=64C30609&_nc_sid=472314
17,"[0.0, 0.0]",,,3152680405472315934_39324970337,CvAkiAKgwoe,54837889492,54837889492,yusufrostami1359,Yusuf Rostami1359#,0,0,2956342164099899745_54837889492,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/312804986_1056222588361646_4471557905828337007_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Bx8fYXtzGIEAX9Ruw5q&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBxfUCmHVNwSAZvuuyAD-tHNxVEHRve2kQaS1XzYvDvfA&oe=64C31E32&_nc_sid=472314
18,"[0.5435897436, 0.2786324786]",,,3152049142019371567_1743959772,Cu-U_6Qo7Iv,230557639,230557639,bpi_sports,BPI Sports,0,1,,https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/1689707_1544486299174738_2015818084_a.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=6aD_Q6fDIVEAX97cUE7&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfDUXXjpdVmMkBfd1I5ht0djJGIu8Bshv5SeKgS1DoUTLw&oe=64C33BFF&_nc_sid=472314
19,"[0.0, 0.0]",,,3151644829368559864_15132384792,Cu85EYwtaj4,15132384792,15132384792,khoolochelestan,خلوچلستان🤣🤣,0,0,3126492751343898728_15132384792,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/354022816_937043054199368_459181537587477214_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=SscZMRHFjkwAX__0xtx&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfA9BfIjd9QQ0tyB9xjObz3ny65Rni1YV-UD6xFt7uDpIw&oe=64C2BAC7&_nc_sid=472314
20,"[0.0, 0.0]",,,3151221845854898196_48434048407,Cu7Y5KqocgU,48434048407,48434048407,nulldevelopr,حسین بدرنژاد | آموزش برنامه نویسی اندروید,0,0,3145915805332619247_48434048407,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/359813715_970794724164374_1476221714748502937_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=jhqPLl6ThH8AX-Zpq_t&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfBh7u5w2r1NgTYOr1Xm5YPa6MYpgVrJSS3xu8YXb6FYZw&oe=64C18DE7&_nc_sid=472314
21,"[0.20964815, 0.6300316]",,,3150211967646006352_60783972062,Cu3zRgSuXxQ,370133168,370133168,cafebazaar,کافه بازار,0,0,2443202395682276418_370133168,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/125398447_693423201283838_7251941071659962009_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=9HH0i4i78xQAX94v_hG&edm=AMKDjl4BAAAA&ccb=7-5&oh=00_AfAPUUrMdhcwhRZ5URzl8MlBG1xfPVXTdTTx6wKG6JpcfA&oe=64C3175D&_nc_sid=472314
